"","sampleSize","contamination","rate","bias_rate_Before","bias_rate_Q_b_F_C","bias_rate_Mean","bias_rate_Median","bias_rate_Mode","MSE_rate_Before","MSE_rate_Q_b_F_C","MSE_rate_Mean","MSE_rate_Median","MSE_rate_Mode","above05_Before_P_value","above05_Q_b_F_C","above05_Mean","above05_Median","above05_Mode"
"1",20,0,0.5,0.301417445800941,0.00381695223905646,0.116335594917994,0.127456462289295,0.146520972626488,0.0927774726059056,0.0161650263038297,0.0490681780446715,0.0541585324640738,0.0642389659967419,0,0.999,1,0.999,0.993
"2",50,0,0.5,0.222304489974227,0.0128124880917629,0.101269738413448,0.109969361560506,0.126849419959405,0.051087938784084,0.00606182685582195,0.0223081851348333,0.0249799564864003,0.0310752510455294,0,1,1,1,0.999
"3",100,0,0.5,0.164337678688351,0.0175016086799195,0.093644320999267,0.101586691232399,0.118208884600819,0.028268672355641,0.00322187354137212,0.0145261205562773,0.016535023023401,0.0211860857407825,0,1,1,1,1
"4",200,0,0.5,0.108724298505738,0.0227952874462106,0.092348865256157,0.0995396728146315,0.115668292731425,0.0125889068513068,0.00204303773708302,0.0115049490916974,0.0131008827397475,0.01711497325293,0,1,1,1,1
"5",20,5,0.5,0.358901486849398,0.0690955076153662,0.0772559818633657,0.0924951338749828,0.115384383476452,0.129805465158858,0.01671454100199,0.0326513987794393,0.0369705067475505,0.0452862940214966,0,0.999,1,0.996,0.984
"6",50,5,0.5,0.30919093922827,0.039452817013046,0.0802398674386506,0.0930712388872477,0.116232020765786,0.0962433503177736,0.00662790566771707,0.0179354501311983,0.021077884456653,0.0277975098601596,0,1,1,1,0.997
"7",100,5,0.5,0.335426651871091,0.0450603403560092,0.0697570221996412,0.0824948264910693,0.10719770477895,0.112807472581576,0.00436129610051826,0.010074103554986,0.0124828403301238,0.0181154363154164,0,1,1,1,1
"8",200,5,0.5,0.329431808247887,0.0425733550943558,0.0664473757977032,0.0784556392653544,0.104088299182303,0.108700197038686,0.00289891477092639,0.00673525582317593,0.00867849941855547,0.0137853729743111,0,1,1,1,1
"9",20,10,0.5,0.38240749000118,0.129659280439617,0.0554828451133349,0.0760855438953077,0.105914862278833,0.14693023436088,0.0250049394977653,0.0240953545279127,0.0288439694458169,0.0376323524979874,0,0.997,0.998,0.986,0.964
"10",50,10,0.5,0.375924704361351,0.107537731286367,0.0518991399496433,0.0697718125050164,0.102662082125482,0.141641545364932,0.0155246070741937,0.0117882603683939,0.0146207458641672,0.0222720318730436,0,0.998,0.999,0.996,0.984
"11",100,10,0.5,0.374756083829305,0.102054154912011,0.0511932652991827,0.0687557088333642,0.10341604482987,0.140620390147824,0.0122454479445647,0.00678492543605811,0.00924052734290622,0.0161057256061873,0,0.998,1,1,0.998
"12",200,10,0.5,0.37388877046733,0.100686827777718,0.0465036591194357,0.0633725937102634,0.0982486933525927,0.139879497288935,0.0110717134973251,0.00424338044167834,0.00628425905165576,0.012364857095496,0,1,1,1,0.997
"13",20,15,0.5,0.395113618909865,0.178908894405918,0.0384406138748117,0.0642096069056429,0.100498596845412,0.156670017906112,0.0384731585838462,0.0181758143029726,0.0224980236154334,0.0316494775622783,0.002,0.994,0.994,0.968,0.92
"14",50,15,0.5,0.379922735912413,0.150504993315746,0.0416778366100068,0.0647579849414891,0.103292624712307,0.144619112849174,0.0257713745800464,0.00989000661393187,0.0131749833402964,0.0215991617239852,0,0.992,1,0.99,0.951
"15",100,15,0.5,0.393404808012556,0.158505718907341,0.0302209042956464,0.0527148737159951,0.0958384664954791,0.154880758759691,0.0264646521996551,0.00435859742593128,0.00660229669229544,0.0139338524671674,0,0.988,0.999,0.995,0.945
"16",200,15,0.5,0.392782296032224,0.156260858360821,0.0287294752843258,0.0508195421085713,0.0948886378392615,0.154333775379689,0.025167803760997,0.00273097352804536,0.0046683162306478,0.0116140902512167,0,0.982,1,0.999,0.944
"17",20,20,0.5,0.404345573045117,0.227281185369767,0.0348349157738501,0.0656968055418595,0.109581538163896,0.16390639388204,0.0568205722192353,0.0186276108706101,0.0239225257307468,0.0362890508696103,0.001,0.956,0.989,0.951,0.874
"18",50,20,0.5,0.40326391774802,0.212883194649381,0.0293921581008883,0.0584236600428619,0.109848981349645,0.162804308653751,0.0476866167137338,0.00788939991794367,0.011363606898477,0.0216784735128083,0,0.931,0.998,0.988,0.866
"19",100,20,0.5,0.403276872164234,0.2105837677598,0.0180672037914715,0.0458833859772785,0.0974733301548177,0.162728707504523,0.0454496555147881,0.0035693427342348,0.00577733904640688,0.0140975762443551,0,0.914,1,0.994,0.831
"20",200,20,0.5,0.403492633526877,0.208600681555776,0.0161370293956234,0.0438259757659478,0.0971173729337975,0.162850368598218,0.0440767668446521,0.00183384655840505,0.00367244969125286,0.0117031671451719,0,0.817,1,0.998,0.738
